,created_at,noClean_tweet,location,verified,source,retweet_count,sentiments,word_count,text
452,2019-10-08 09:37:00,"Remember this woman?

She is Mrs. Bisi Fayemi, the wife of Ekiti State Governor.

She too has joined in on the… https://t.co/nQTn6Mj6tB","Lagos, Nigeria",False,Twitter for Android,79,neutral,20,remember woman mr bisi fayemi wife ekiti state governor joined
455,2019-10-08 09:34:52,"#Sex4grades
Professor VP has absconded to Norway....
Yaff not seen anytin o","Abuja, Nigeria",False,Twitter for Android,0,neutral,10,sex4grades professor vp absconded norway yaff seen anytin
457,2019-10-08 09:21:32,"Good ideas start with brainstorming, great ideas starts with coffee.

#thefive #theV #thefivelounge #Ghana #Accra… https://t.co/2yYA4Z4wgc",,False,Twitter for Android,1,positive,15,good idea start brainstorming great idea start coffee thefive thev thefivelounge ghana accra
458,2019-10-08 09:14:05,It's Falz y'all are calling........ Misplaced priorities. #sex4grades,,False,Twitter for Android,0,negative,8,falz calling misplaced priority sex4grades
459,2019-10-08 09:12:33,It's high time we expose all the bad eggs in our various schools making learning unsafe for our girls. Speak out if… https://t.co/NfHJDwaOQZ,,False,Twitter for Android,0,negative,23,high time expose bad egg various school making learning unsafe girl speak
461,2019-10-08 09:11:01,@amarachimex #UNIBEN is another hotspot for #sex4grades,"Vienna, Austria",False,Twitter for Android,0,neutral,7,amarachimex uniben another hotspot sex4grades
467,2019-10-08 08:59:59,"10-15 mins of xxx can ruin your career, integrity and life.
one faithful lady is enough.!!!

#Gyampo #sex4grades… https://t.co/eHWf1lN3iH","Accra, Ghana",False,Twitter for Android,0,neutral,17,10 15 min xxx ruin career integrity life one faithful lady enough gyampo sex4grades
469,2019-10-08 08:53:11,"""If you want to pass your project work, I have to taste it. I know you dress n act like a boy. Do you want to gradu… https://t.co/HqdF3l33eB","Accra, Ghana",False,Twitter for Android,2,neutral,28,want pas project work taste know dress n act like boy want gradu
470,2019-10-08 08:51:16,"@benkoku, #Sex4Grades coming at a time when Ghanaians are opposing CSE tells me that, pressure is being mounted from somewhere. #CitiCBS",On your screen ,False,Twitter for Android,0,neutral,21,benkoku sex4grades coming time ghanaians opposing cse tell pressure mounted somewhere citicbs
471,2019-10-08 08:51:13,"Oh.. Irbard is just something else, so he carries the lectern himself😂😂😂😂
#BadBadBad #SoNA #Sex4Grades https://t.co/E0rDx68ZNA","Weija, Accra",False,Twitter for Android,0,neutral,15,oh irbard something else carry lectern badbadbad sona sex4grades
472,2019-10-08 08:50:39,This #sex4grades thing is an open secret. It's rather unfortunate some lectures who are believed to be innocent are… https://t.co/0thLXRguiF,Greater Accra,False,Twitter for Android,4,negative,20,sex4grades thing open secret rather unfortunate lecture believed innocent
474,2019-10-08 08:49:55,"""Don't put Unnecessary pressure on me""-Unilag Lecturer Featured in #SexForGrades Documentary says… https://t.co/skSVo1Sxfv",,False,Twitter Web App,0,negative,13,put unnecessary pressure unilag lecturer featured sexforgrades documentary say
475,2019-10-08 08:48:20,"In this #sex4grades discussion, if young male lecturers talk ehn...e ni ti ile  ba mo ba ni barawo sha",Arigungun Ibadan ,False,Twitter for Android,0,positive,20,sex4grades discussion young male lecturer talk ehn e ni ti ile ba mo ba ni barawo sha
476,2019-10-08 08:48:15,"Kiki Mordi should be protected
KIKI MORDI SHOULD BE PROTECTED!
KIKI MORDI SHOULD BE PROTECTED!!
KIKI MORDI SHOULD B… https://t.co/0dr52fyrOn","Edmonton, Alberta",False,Twitter for Android,0,neutral,17,kiki mordi protected kiki mordi protected kiki mordi protected kiki mordi b
478,2019-10-08 08:43:24,@TayeOlusola #sex4grades,Nigeria,False,Twitter for Android,0,neutral,2,tayeolusola sex4grades
479,2019-10-08 08:41:31,"#SexForGrades popped up, we've not even finish discussing #CSE.

#BBCexpose #Sex4Grades https://t.co/V5NREnVcpk",Worldwide,False,Twitter Web App,0,neutral,11,sexforgrades popped even finish discussing cse bbcexpose sex4grades
480,2019-10-08 08:41:15,"😭Yɛn girls nso ba sukuu a, Lecturers binom pɛ sɛ wɔdi wɔn ansa na yapaase wɔn. 😒Mo ti pasee sɛ nantwie😏 #Sex4Grades","London, England",False,Twitter for Android,0,neutral,22,n girl nso ba sukuu lecturer binom p w di w n ansa na yapaase w n mo ti pasee nantwie sex4grades
484,2019-10-08 08:33:01,@horlarjyde @kikimordi Oga this table u are shaking ehn ..😂😂😂 #sex4grades,"Lagos, Nigeria",False,Twitter for Android,0,neutral,11,horlarjyde kikimordi oga table u shaking ehn sex4grades
489,2019-10-08 08:25:15,"In the 7mins video I watched, I didn't see Prof Gyampo soliciting #sex4grades as bbc wants us to believe.
His advan… https://t.co/tE9Sc6qqkK",,False,Instagram,0,neutral,21,7mins video watched see prof gyampo soliciting sex4grades bbc want u believe advan
497,2019-10-08 08:17:06,"@Zylofon1021fm The lecture chop Abigail di3, not one not twice more than four. Eeiiiih Abigaily. #showbizagenda tha… https://t.co/thxygsKSir",Alajo,False,Mobile Web (M2),4,neutral,18,zylofon1021fm lecture chop abigail di3 one twice four eeiiiih abigaily showbizagenda tha
500,2019-10-08 08:15:14,"For all you know, this #sex4grades video is to take our attention from something bigger.  Am sure by now China is n… https://t.co/7hkv9M4fNA",SomeWhere in Ghana🇬🇭,False,Twitter for Android,3,positive,24,know sex4grades video take attention something bigger sure china n
502,2019-10-08 08:13:33,"University of Benin where lecturer A would harass u, if u report he would not fail u but u would not pass Lecturers… https://t.co/57SLbdDm2H",Za Oza Rum,False,Twitter for Android,0,negative,24,university benin lecturer would harass u u report would fail u u would pas lecturer
503,2019-10-08 08:09:09,"@kwadwosheldon @Gyasiwaa__ @naa_rogue @SageGoddesss @jabdulai @jayanaman @_akpet @PepperDemMin 
#Sex4Grades https://t.co/ZGoOe4mtHR","Accra, Ghana",False,Twitter for iPhone,1,neutral,10,kwadwosheldon gyasiwaa naa rogue sagegoddesss jabdulai jayanaman akpet pepperdemmin sex4grades
505,2019-10-08 08:07:18,"Formal formal formal formal.
You want to talk about work and nothing else.
Esa bo dientse 
😂😂😂😂😂😂😂😂
#ProfGyampo
#Sex4Grades",Accra,False,Twitter for Android,0,neutral,15,formal formal formal formal want talk work nothing else esa bo dientse profgyampo sex4grades
506,2019-10-08 08:07:16,It’s typical of @UnivofGh lecturers to resort to courting sympathy or threatening victims when they are reported.… https://t.co/XVqw7sptrC,"Accra, Ghana",False,Twitter for iPhone,78,negative,18,typical univofgh lecturer resort courting sympathy threatening victim reported
508,2019-10-08 08:04:20,"@GHOneTV 
#Sex4Grades is bound to happen
#GHToday",East Legon,False,Twitter for Android,0,neutral,6,ghonetv sex4grades bound happen ghtoday
509,2019-10-08 08:01:44,The @UnivofGh authorities are the main culprits in the #Sex4Grades scandal. Hardly do they do anything about report… https://t.co/IcrqHNoTUf,"Accra, Ghana",False,Twitter for iPhone,0,negative,19,univofgh authority main culprit sex4grades scandal hardly anything report
511,2019-10-08 07:58:37,"Don’t hesitate to call them out.
#Sex4Grades https://t.co/7ixA0z5YSL","Accra, Ghana",False,Twitter for iPhone,1,neutral,7,hesitate call sex4grades
512,2019-10-08 07:57:59,"@DONJAZZY Now the panel that is set up will be corrupted with time, if you know what I mean. The lecturers should d… https://t.co/B7U8e31LXy",,False,Twitter for Android,0,negative,24,donjazzy panel set corrupted time know mean lecturer
513,2019-10-08 07:57:06,@AfamDeluxo This #sex4grades cannot happen in unizik.... It's only lecturers with fake certificates you see In scie… https://t.co/Ik3FVARHo4,Nigeria,False,Twitter for Android,0,negative,18,afamdeluxo sex4grades cannot happen unizik lecturer fake certificate see scie
519,2019-10-08 07:49:06,"Dear God,
Do not debase me after you have elevated me. Do not make me commit immoralities that will lead to my inde… https://t.co/ZNmGZ4wK56","Lagos, Nigeria",False,Twitter for Android,0,neutral,23,dear god debase elevated make commit immorality lead inde
525,2019-10-08 07:44:40,Who noticed how all the other lecturers who were not caught red handed waved off the allegations?  That is the ever… https://t.co/gr0LYDvcnu,NigerIa,False,Twitter Web App,1,neutral,23,noticed lecturer caught red handed waved allegation ever
526,2019-10-08 07:44:06,"Why is it that @sarkodie always know where @anasglobal is going to expose next
1. Pizza &amp; Burger=Judges
2. Hand to… https://t.co/Nl9MeyxuXj","Kumasi, Ghana",False,Twitter for Android,1,neutral,20,sarkodie always know anasglobal going expose next 1 pizza amp burger judge 2 hand
535,2019-10-08 07:33:10,If you entered Uni with House of Rep list or those stupid list of unqualified students that gain admission(even int… https://t.co/tK5B8NfoMP,Global Citizen,False,Twitter for iPhone,6,negative,21,entered uni house rep list stupid list unqualified student gain admission even int
538,2019-10-08 07:30:01,"#Sex4grades #money4grades are the reasons why you get to NYSC camp &amp; see some dumb people! 

You’re left to wonder… https://t.co/U4usz6cP3r",Global Citizen,False,Twitter for iPhone,1,negative,21,sex4grades money4grades reason get nysc camp amp see dumb people left wonder
542,2019-10-08 07:26:32,"#Sex4Grades: I Was A Victim Of Sexual Harassment,Says Erelu @bisiafayemi

https://t.co/rtjSVDO3Bo

@AbiodunBorisade… https://t.co/LdvTn1lrb2",,False,Twitter for Android,4,positive,11,sex4grades victim sexual harassment say erelu bisiafayemi abiodunborisade
544,2019-10-08 07:21:38,"I'd follow everyone that likes this tweet
Follow back please
#ColdRoom #sex4grades #Coldroomexperience",My Space,False,Twitter for Android,0,neutral,11,follow everyone like tweet follow back please coldroom sex4grades coldroomexperience
546,2019-10-08 07:19:38,"Muhammadu, Yemi &amp; gang can't speak on the #BBCAfricaEye #Sex4Grades exposé yet. Like the #Gandollars incident, they… https://t.co/mMEz9J5XLJ",Sagacity  🌍,False,Twitter for Android,0,neutral,18,muhammadu yemi amp gang speak bbcafricaeye sex4grades expo yet like gandollars incident
551,2019-10-08 07:17:53,"@chimgaemeya @fissywapes @collinsweglobe @YulEdochie @_Toseen_ I have said so much, you can view my timeline.
Its r… https://t.co/vy2kEIZzZM","Abuja, Nigeria",False,Twitter for Android,1,positive,17,chimgaemeya fissywapes collinsweglobe yuledochie toseen said much view timeline r
552,2019-10-08 07:17:33,"One of the lecturers in Uniben  went to visit a girl workplace during her IT, he didn’t meet her .
She Came to scho… https://t.co/KMgkgzxo5f","Lagos, Nigeria",False,Twitter for iPhone,8,neutral,25,one lecturer uniben went visit girl workplace meet came scho
554,2019-10-08 07:15:37,"#BBC you might want to look into this also 🤦🏻‍♂️🤭🤭
.
.
Nollywood oooo 
.
#sijilagos
#sexfacts 
#sex4grades… https://t.co/9Xy5CLsIxO",TheJourney,False,Instagram,0,neutral,14,bbc might want look also nollywood oooo sijilagos sexfacts sex4grades
555,2019-10-08 07:14:16,"#sex4grades 

Bringing up an assumption, claiming ""women are guilty"" is the base of that stupid comment &amp; all those… https://t.co/P4VNdfPAvE",Earth. (info@tracescorch.com),False,Twitter for Android,0,negative,20,sex4grades bringing assumption claiming woman guilty base stupid comment amp
556,2019-10-08 07:08:30,Coded tinx #sex4grades https://t.co/KBh1fdgHfi,"Lagos, Nigeria",False,Twitter for Android,0,neutral,4,coded tinx sex4grades
557,2019-10-08 07:06:25,@fissywapes @collinsweglobe @YulEdochie @_Toseen_ Many ladies out there who has nothing up stairs depends on sexing… https://t.co/IXSJpsevUz,"Abuja, Nigeria",False,Twitter for Android,0,positive,17,fissywapes collinsweglobe yuledochie toseen many lady nothing stair depends sexing
559,2019-10-08 06:59:55,#sex4grades is just wrong. https://t.co/uO7j4fwqFe,,False,Twitter for Android,0,negative,5,sex4grades wrong
563,2019-10-08 06:58:57,"Families, parents, religious bodies etcetera shd talk abt sex. Let ur wards know what is &amp; whatnot. Street orientat… https://t.co/3tspeWhstX",Benin City,False,Twitter for Android,1,neutral,20,family parent religious body etcetera shd talk abt sex let ur ward know amp whatnot street orientat
566,2019-10-08 06:53:47,@samflickimages @MI_Abaga So he shouldn't make his point cos you're trending #sex4grades? No Bueno!,Underworld,False,Twitter for Android,0,neutral,14,samflickimages mi abaga make point co trending sex4grades bueno
567,2019-10-08 06:49:04,"Now, all unmarried lecturers or those planning to pick a second wife should look beyond the campus! #BBCAfricaneye #ColdRoom #sex4grades","HOME: Lagos, Nigeria",False,Twitter for Android,0,neutral,20,unmarried lecturer planning pick second wife look beyond campus bbcafricaneye coldroom sex4grades
569,2019-10-08 06:47:31,Wonder why female lecturers don't harras male students! #sex4grades #BBCAfricaneye #ColdRoom,"HOME: Lagos, Nigeria",False,Twitter for Android,0,neutral,11,wonder female lecturer harras male student sex4grades bbcafricaneye coldroom
570,2019-10-08 06:47:07,"Let's also talk about boys who got their grades ducked because they dated ""hot girls"" that lecturers had eyes for,… https://t.co/pQzEB5Tret",,False,Twitter for Android,1,positive,21,let also talk boy got grade ducked dated hot girl lecturer eye
573,2019-10-08 06:38:54,"If there was no video evidence you guys will say, “ they are tarnishing the image of the man of God or that of a ve… https://t.co/rFM8swMsoF",Between Heaven and Hell,False,Facebook,1,neutral,27,video evidence guy say tarnishing image man god
574,2019-10-08 06:37:00,@Hitz1039FM #sex4grades oooooo God Why is going on........eventuarry it good dey r caught now.......more to b caught soon,,False,Twitter for Android,0,positive,18,hitz1039fm sex4grades oooooo god going eventuarry good dey r caught b caught soon
575,2019-10-08 06:32:14,Your mate are doing #sex4grades see what you are reporting. 🤮 https://t.co/VSo3Wn8Jth,,False,Twitter for iPhone,2,neutral,12,mate sex4grades see reporting
576,2019-10-08 06:20:45,"@PHELYX_GIFT @MrOyeyipo_ @JustLikeLava_ Lmaooo... Y'all play waayyy teewww much, mahnn...#ColdroomExperience...#Sex4Grades!!! 🙄😌😂🤣🤣",Somewhere around Earth... ☺,False,Twitter for Android,0,positive,11,phelyx gift mroyeyipo justlikelava lmaooo play waayyy teewww much mahnn coldroomexperience sex4grades
583,2019-10-08 06:14:56,@DONJAZZY That's what I was saying when they were busy lambasting the lecturers for the act but ignore the fact tha… https://t.co/IwLaOBcVO7,nigeria,False,Twitter for Android,0,positive,22,donjazzy saying busy lambasting lecturer act ignore fact tha
584,2019-10-08 06:14:33,@Coldflames_1 @DONJAZZY That's what I was saying when they were busy lambasting the lecturers for the act but ignor… https://t.co/0atiVUd0qp,nigeria,False,Twitter for Android,0,positive,20,coldflames 1 donjazzy saying busy lambasting lecturer act ignor
588,2019-10-08 06:04:13,"@RomieTijes If you had bothered to watch @kikimordi documentary, you would have seen that 100% of the girls in that… https://t.co/wlpiK4MaCY","Abuja, Nigeria",False,Twitter for iPhone,0,neutral,21,romietijes bothered watch kikimordi documentary would seen 100 girl
590,2019-10-08 06:01:45,"Pls can we get pass this coza thing, d reason the lecturers got served is because Kiki came out wt a prove that sho… https://t.co/viD0t0QRAJ","Lagos, Nigeria",False,Twitter for Android,1,neutral,25,pls get pas coza thing reason lecturer got served kiki came wt prove sho
592,2019-10-08 05:58:23,"BBC Africa the real life Raymond Reddington. 
#sex4grades",,False,Twitter for Android,0,positive,8,bbc africa real life raymond reddington sex4grades
594,2019-10-08 05:51:37,@MI_Abaga When I said MI is politically doing this people think I am saying too much..... Talking about diss when a… https://t.co/yrzSboVvmx,Lagos,False,Twitter for Android,4,positive,22,mi abaga said mi politically people think saying much talking dis
597,2019-10-08 05:49:57,While we show our solidarity with those victims of #sex4grades we must also remember those girls who deliberately g… https://t.co/ofAsq6yQLi,"5.487096,7.042935",False,Twitter for Android,0,negative,20,show solidarity victim sex4grades must also remember girl deliberately g
604,2019-10-08 05:40:53,#sex4grades https://t.co/CQljEnvini,,False,Twitter Web App,0,neutral,2,sex4grades
607,2019-10-08 05:36:35,@Writa_holic She's bin threatened with carry over and subsequently an extra year by this evil man. And she claims i… https://t.co/WPae7ZpUXc,Abuja,False,Twitter for Android,1,negative,21,writa holic bin threatened carry subsequently extra year evil man claim
611,2019-10-08 05:33:19,"#YouCantGoBack, You just God'da Keep  Being @SleekHimTafeni 🌊 @1685_MUSiiiC Mixtape Out Now!!?💛💛💛 @DjSwitchSA… https://t.co/tSVeimrog1",NeedRand1685,False,Twitter Web App,3,neutral,15,youcantgoback god da keep sleekhimtafeni 1685 musiiic mixtape djswitchsa
612,2019-10-08 05:29:24,"As usual, some men are making fun of this. #sex4grades","Minneapolis, MN",False,Twitter for iPhone,1,positive,10,usual men making fun sex4grades
614,2019-10-08 05:27:00,#TachaRebranded #TuesdayMorning #TuesdayMotivation #TuesdayThoughts #sexforgrade #BBCAfrica #BBCAfricaneye… https://t.co/H9trNHzlWG,,False,Twitter Web App,0,neutral,8,tacharebranded tuesdaymorning tuesdaymotivation tuesdaythoughts sexforgrade bbcafrica bbcafricaneye
627,2019-10-08 04:55:26,"Judgement day came early for this randy lecturer. Awon rada rada.

#Sex4Grades  #BBCAfricaneye @BBCAfrica https://t.co/pAsb2a4rka",Abuja,False,Twitter for Android,0,positive,15,judgement day came early randy lecturer awon rada rada sex4grades bbcafricaneye bbcafrica
628,2019-10-08 04:50:45,"Sunnylove
Boniface.

Don't you see their name sounds like #sex4grades",Lagos ,False,Twitter for Android,0,positive,8,sunnylove boniface see name sound like sex4grades
633,2019-10-08 04:37:57,"If a lecturer decides to commit suicide having been exposed by the #sex4grades videos, I will feel no pity for us.… https://t.co/J8hI5qIhxF",Abia to the world,False,Twitter for Android,2,negative,22,lecturer decides commit suicide exposed sex4grades video feel pity u
634,2019-10-08 04:27:41,@djmatic_gh #sex4Grades,"Accra, Ghana",False,Twitter for Android,0,neutral,2,djmatic gh sex4grades
637,2019-10-08 04:02:23,We salute you @kikimordi. This documentary's effects will be far reaching and will spark a movement against… https://t.co/WS9Iw5NLON,Malawi,False,Twitter for Android,0,positive,18,salute kikimordi documentary effect far reaching spark movement
642,2019-10-08 02:42:37,"Vulnerable Students in our higher Instutions, Predators Everywhere.
Lend Your Voice..Expose them!!!
#Sex4grades https://t.co/aq1mRJkAbp",Nigeria,False,Twitter for Android,2,negative,12,vulnerable student higher instutions predator everywhere lend voice expose sex4grades
643,2019-10-08 02:39:11,"It's good we are talking about #Sex4Grades, however nothing wld change, we have a culture of abusing positions of p… https://t.co/ObTmYVbMWr",,False,Twitter for Android,0,positive,21,good talking sex4grades however nothing wld change culture abusing position p
646,2019-10-08 02:23:10,Any lecturer involve in sex for grade should be brought to book. This will serve as lesson for intending one to des… https://t.co/iqAZth7ICk,Abuja Nigeria ,False,Twitter for iPhone,0,neutral,23,lecturer involve sex grade brought book serve lesson intending one de
647,2019-10-08 02:20:23,"@somkenechukwu @PoojaMedia Everything that has a beginning has an and, if you doubt me ask #sex4grades lecturers.",PHC,False,Twitter for Android,0,neutral,17,somkenechukwu poojamedia everything beginning doubt ask sex4grades lecturer
648,2019-10-08 02:19:25,"Thanks @kikimordi
and @BBCAfrica #BBCAfricaneye for this long and paintaking investigation and for all those behind… https://t.co/fG95Kh0Ffs",Nigeria,False,Twitter for Android,2,negative,16,thanks kikimordi bbcafrica bbcafricaneye long paintaking investigation behind
649,2019-10-08 02:14:17,What happened to the sexual harassment bill in tertiary institutions proposed by the 8th Assembly? Is not time the… https://t.co/MpItkkoFlz,Nigeria,False,Twitter for Android,2,positive,20,happened sexual harassment bill tertiary institution proposed 8th assembly time
650,2019-10-08 02:12:07,@Lifematician The system is a failed one already. After all people loose years because of yeye strike #sex4grades is a better cause.,PHC,False,Twitter for Android,0,negative,22,lifematician system failed one already people loose year yeye strike sex4grades better cause
662,2019-10-08 01:16:59,"it is amazing that even with video evidence, some gutter pigs still support these lectuers. #SexForGrades. #sex4grades","Lagos, Nigeria",False,Twitter for Android,2,positive,17,amazing even video evidence gutter pig still support lectuers sexforgrades sex4grades
676,2019-10-08 00:26:28,This pose really over me 🤣🤣. Chale no be small sexy man pose #Gyampo de give the undercover  #journalist #sex4grades https://t.co/I4tgkAFDAw,"ACCRA, GHANA",False,Twitter for iPhone,14,positive,22,pose really chale small sexy man pose gyampo de give undercover journalist sex4grades
677,2019-10-08 00:24:39,"Who is this Sunnylove in UNIBEN? 
#sex4grades https://t.co/ivewhpwrO0",,False,Twitter for Android,0,neutral,8,sunnylove uniben sex4grades
688,2019-10-07 23:51:57,"I don't know what sickens me the most, the fact that those professors are used to abuse their students and normaliz… https://t.co/F2FEsNNvYV",Senegal,False,Twitter for Android,0,neutral,22,know sickens fact professor used abuse student normaliz
689,2019-10-07 23:51:37,@lydiaforson My wife faced such harassment when she was at KTU due to this she couldn’t complete. She continued at… https://t.co/ZhoBCjk4UG,"Tema, Ghana",False,Twitter for iPhone,3,negative,21,lydiaforson wife faced harassment ktu due complete continued
691,2019-10-07 23:45:18,This Appalling 💔... #Sex4Grades https://t.co/OFYIpmP9cd,"Ilorin, Nigeria",False,Twitter for Android,0,negative,5,appalling sex4grades
693,2019-10-07 23:41:09,"SEX FOR GRADES
#sex4grades
 When the ""sex for grade"" video stated trending,  I thought I had seen it all not until… https://t.co/n337lJyN7i",Lagos,False,Instagram,0,neutral,22,sex grade sex4grades sex grade video stated trending thought seen
700,2019-10-07 23:30:26,"Cold room experience 😅😅😅😅 
#sex4grades",KNUST-Ghana,False,Twitter for iPhone,0,negative,5,cold room experience sex4grades
704,2019-10-07 23:21:37,That sounds like a student abuse syndicate to me that needs to be taken down immediately. #sex4grades shouldn't jus… https://t.co/2OqyAdmoiF,"Abuja, Nigeria",False,Twitter for Android,0,positive,20,sound like student abuse syndicate need taken immediately sex4grades jus
714,2019-10-07 23:10:20,"About to go to bed after reading all this disappointing news.

Women are already generally insecure due to certain… https://t.co/JrbWiP51qr","Accra, Ghana",False,Twitter for Android,10,negative,19,go bed reading disappointing news woman already generally insecure due certain
716,2019-10-07 23:09:11,"Innocent man Gyampo saying girls in some SHS like ""Koti"".....if he is innocent then Attaa Ayi is a saint from Rome.… https://t.co/q5oNBTJ5G5",Finland 🇫🇮 🇬🇭 ,False,Twitter for iPhone,0,positive,22,innocent man gyampo saying girl shs like koti innocent attaa ayi saint rome
722,2019-10-07 22:50:51,@Akosuahmay The crew would have come in which would have in any way curtailed the whole investigation. Long story s… https://t.co/C9O1iG3Ty1,"Ashanti, Ghana",False,Twitter for iPhone,0,positive,21,akosuahmay crew would come would way curtailed whole investigation long story
723,2019-10-07 22:50:12,@ChiefMykheals i hv finished watching it frm youtube wai3 #Sex4Grades #SexforGrades #Sex4iphone,BL-0061-6550,False,Twitter for Android,0,neutral,12,chiefmykheals hv finished watching frm youtube wai3 sex4grades sexforgrades sex4iphone
724,2019-10-07 22:50:05,#sex4grades,,False,Twitter Web App,0,neutral,1,sex4grades
725,2019-10-07 22:50:01,😎 #sex4grades https://t.co/yGYhRig3v7,Ghana kumasi,False,Twitter for Android,1,neutral,3,sex4grades
730,2019-10-07 22:42:14,"Forget
#Sex4Grades and laugh small😄 https://t.co/SufCsGmt06",,False,Twitter for iPhone,0,positive,5,forget sex4grades laugh small
731,2019-10-07 22:39:36,When the colonial master decides to blatantly overlook the glaring infirmities in his own system and instead shed b… https://t.co/O8MORRY1Jt,"Accra, Ghana",False,Twitter for Android,0,negative,20,colonial master decides blatantly overlook glaring infirmity system instead shed b
733,2019-10-07 22:35:50,#sex4grades goes wrong https://t.co/OSjovzmvM7,"Benin-City, Nigeria",False,Twitter for Android,3,negative,4,sex4grades go wrong
737,2019-10-07 22:28:22,I am going to the #coldroom to collect ice fish for my concussion rice #sexforgrades #sex4grades,Abuja ,False,Twitter for Android,0,neutral,16,going coldroom collect ice fish concussion rice sexforgrades sex4grades
742,2019-10-07 22:23:59,"I don’t think #Sex4grades would ever end in west Africa especially Nigeria 

These things happen in both private,st… https://t.co/Os1i89KrXu",Here and there ,False,Twitter for iPhone,2,neutral,19,think sex4grades would ever end west africa especially nigeria thing happen private st
749,2019-10-07 22:10:15,"Sexual Transmitted Degrees 
Hmmmmmm
I think this issue of #sex4grades is he who is without sin, let him cast the fi… https://t.co/tqCzxBKJzj","Asaba, Nigeria",False,Twitter for Android,0,positive,21,sexual transmitted degree hmmmmmm think issue sex4grades without sin let cast fi
754,2019-10-07 21:58:42,@gimbakakanda @JaafarSJaafar @Abdulfagge That's the same thing I've been saying since morning. Nigerian Journalists… https://t.co/ZcNoWDoBvS,Lagos,False,Twitter for Android,4,neutral,15,gimbakakanda jaafarsjaafar abdulfagge thing saying since morning nigerian journalist
755,2019-10-07 21:57:58,"Fat girl with a side guy...
What a combo😂😂😂
#Sex4grades","Greater Accra, Ghana",False,Twitter for Android,0,neutral,8,fat girl side guy combo sex4grades
759,2019-10-07 21:51:52,"This professor must be out of his mind. For sure, he is one of the perpetrators of this evil and shameless act.… https://t.co/9U0OnTWhHQ",NIGERIA,False,Twitter for iPhone,0,negative,23,professor must mind sure one perpetrator evil shameless act
763,2019-10-07 21:46:44,"@UnivofGh we want to see you take action against sex offenders!!

Stop shielding them!!!!!
#Sex4Grades","Accra, Ghana",False,Twitter for iPhone,0,positive,13,univofgh want see take action sex offender stop shielding sex4grades
764,2019-10-07 21:46:40,You want to go to your Student's house and do What? #Sex4Grades,,False,Facebook,0,neutral,12,want go student house sex4grades
765,2019-10-07 21:46:22,Very soon there will be an Ngo for #sex4grades,Whole wide world,False,Twitter for iPhone,0,neutral,9,soon ngo sex4grades
766,2019-10-07 21:43:56,I have seen the commentary on the #Sex4grades scandal and I want to ask @NAkufoAddo and the government of Ghana 🇬🇭… https://t.co/zu525bHGOF,"Accra, Ghana",False,Twitter for iPhone,0,neutral,22,seen commentary sex4grades scandal want ask nakufoaddo government ghana
767,2019-10-07 21:42:09,"LET YOUR JERSEY DO THE TALKING..
DM📞Whatsapp 08084087085
#TachaRebranded #Sex4Grades #Rema #SexForGrades Boniface… https://t.co/na151FmRMF","Lagos, Nigeria  ",False,Twitter for Android,0,neutral,12,let jersey talking dm whatsapp 08084087085 tacharebranded sex4grades rema sexforgrades boniface
768,2019-10-07 21:41:07,"The manager of ""Cold room"" at UNILAG now suspended. We come to your universities seeking knowledge. Not sex.… https://t.co/9wVh5Mebk6",World,False,Twitter for Android,0,negative,19,manager cold room unilag suspended come university seeking knowledge sex
769,2019-10-07 21:41:03,How far any lecture are prof in udus that one can point fingers on that he’s involved in #Sex4grades,"Victoria Island, Nigeria",False,Twitter for iPhone,0,positive,19,far lecture prof udus one point finger involved sex4grades
771,2019-10-07 21:39:43,"This Nigeria sef, all those baba that'd fuck women in exchange for money, appointments and all those women that wou… https://t.co/rVHjZI2Qx8","Texas, USA",False,Twitter for Android,0,negative,21,nigeria sef baba fuck woman exchange money appointment woman wou
776,2019-10-07 21:32:38,"#Sex4grades  Our university has a zero tolerance policy on sexual harassment😂
SCAM",Ghana,False,Twitter for iPhone,0,positive,12,sex4grades university zero tolerance policy sexual harassment scam
777,2019-10-07 21:30:41,After watching the #Sex4Grades video........................i will say Over to you UG. we need to make Scape Goats… https://t.co/HHZIyGRZs8,,False,Facebook,0,neutral,18,watching sex4grades video say ug need make scape goat
783,2019-10-07 21:16:41,"If ladies are called side chicks,then what do ladies called men...........
A) Side guy.
B) Side daddy
C) Side side.… https://t.co/yqdl97Tohd","Greater Accra, Ghana",False,Twitter for Android,0,neutral,18,lady called side chick lady called men side guy b side daddy c side side
784,2019-10-07 21:16:38,"Nigerian university staff club is literally where these shameless lecturers perpetuate these ills. #Sex4grades

Uni… https://t.co/83s059fHd8","Cape Town, South Africa",False,Twitter for iPhone,0,negative,15,nigerian university staff club literally shameless lecturer perpetuate ill sex4grades uni
785,2019-10-07 21:15:26,"He went as far as telling his student : ""if you don't obey me, I'll report you to your
Mother"". And he said it unapologetically! #Sex4Grades",,False,Twitter for Android,0,positive,25,went far telling student obey report mother said unapologetically sex4grades
787,2019-10-07 21:14:08,"Federal Polytechnic Oko Lectures (Evil Ones) BBC Africa is Coming for your heads!!
#Continue Taking dem to differen… https://t.co/UvPxmxm914",World Wide,False,Facebook,0,negative,18,federal polytechnic oko lecture evil one bbc africa coming head continue taking dem differen
